Index       TIME          {V(VOUT)+1.0}      {V(IN)+1.0}          V(1)       
72       1.50518807e-06    5.48792817e+00    1.94781819e+00    0.00000000e+00
73       1.50528146e-06    5.52580269e+00    1.88227055e+00    0.00000000e+00
74       1.50537484e-06    5.55793727e+00    1.82041701e+00    0.00000000e+00
75       1.50556162e-06    5.60900607e+00    1.70745718e+00    0.00000000e+00
76       1.50574839e-06    5.64669083e+00    1.60829464e+00    0.00000000e+00
77       1.50593516e-06    5.67525712e+00    1.52193673e+00    0.00000000e+00
78       1.50612194e-06    5.69742756e+00    1.44717517e+00    0.00000000e+00
79       1.50630871e-06    5.71497907e+00    1.38269734e+00    0.00000000e+00
80       1.50668226e-06    5.74073328e+00    1.27915123e+00    0.00000000e+00
81       1.50705580e-06    5.75787089e+00    1.20316639e+00    0.00000000e+00
82       1.50742935e-06    5.76965583e+00    1.14767996e+00    0.00000000e+00
83       1.50780290e-06    5.77788459e+00    1.10724933e+00    0.00000000e+00
84       1.50854999e-06    5.78802248e+00    1.05551034e+00    0.00000000e+00
85       1.51004418e-06    5.79614337e+00    1.01229206e+00    0.00000000e+00
86       1.51303255e-06    5.79867262e+00    9.98508365e-01    0.00000000e+00
87       1.51567837e-06    5.79838573e+00    1.00009031e+00    0.00000000e+00
88       1.51832419e-06    5.79840107e+00    9.99995505e-01    0.00000000e+00
89       1.52097002e-06    5.79840198e+00    9.99999188e-01    0.00000000e+00
90       1.52626166e-06    5.79840032e+00    1.00000105e+00    0.00000000e+00
91       1.53684494e-06    5.79840192e+00    9.99998893e-01    0.00000000e+00
92       1.55801150e-06    5.79840036e+00    1.00000113e+00    0.00000000e+00
93       1.60034463e-06    5.79840190e+00    9.99998860e-01    0.00000000e+00
94       1.68501089e-06    5.79840037e+00    1.00000114e+00    0.00000000e+00
95       1.85434341e-06    5.79840189e+00    9.99998854e-01    0.00000000e+00
96       2.15434341e-06    5.79840038e+00    1.00000115e+00    0.00000000e+00
97       2.45434341e-06    5.79840189e+00    9.99998851e-01    0.00000000e+00
98       2.75434341e-06    5.79840038e+00    1.00000115e+00    0.00000000e+00
99       3.00500000e-06    5.79840189e+00    9.99998848e-01    0.00000000e+00
100      3.00503125e-06    5.79884679e+00    1.00110189e+00    3.12500000e-02
101      3.00509375e-06    5.80119280e+00    1.00701050e+00    9.37500000e-02
102      3.00515625e-06    5.80412311e+00    1.01466163e+00    1.56250000e-01
103      3.00528125e-06    5.81210894e+00    1.03942147e+00    2.81250000e-01
104      3.00540625e-06    5.82100221e+00    1.07519074e+00    4.06250000e-01
105      3.00553125e-06    5.82947603e+00    1.12039045e+00    5.31250000e-01
106      3.00578125e-06    5.84385964e+00    1.23438780e+00    7.81250000e-01
107      3.00603125e-06    5.85480454e+00    1.37504696e+00    1.03125000e+00
108      3.00628125e-06    5.86280437e+00    1.53708592e+00    1.28125000e+00
109      3.00653125e-06    5.86838917e+00    1.71630980e+00    1.53125000e+00
110      3.00678125e-06    5.87192732e+00    1.90932674e+00    1.78125000e+00
111      3.00728125e-06    5.88339311e+00    2.35575856e+00    2.28125000e+00
112      3.00773125e-06    5.88167894e+00    2.79148755e+00    2.73125000e+00
113      3.00779859e-06    5.87640094e+00    2.85395044e+00    2.79859231e+00
114      3.00786593e-06    5.86996135e+00    2.91636139e+00    2.86593462e+00
115      3.00800062e-06    5.84995480e+00    3.04007790e+00    3.00061924e+00
116      3.00813530e-06    5.81836143e+00    3.16162607e+00    3.13530386e+00
117      3.00826999e-06    5.77196789e+00    3.28035312e+00    3.26998848e+00
118      3.00840467e-06    5.70716130e+00    3.39573463e+00    3.40467310e+00
119      3.00853936e-06    5.61809978e+00    3.50748252e+00    3.53935772e+00
120      3.00867404e-06    5.49197420e+00    3.61626825e+00    3.67404234e+00
121      3.00873737e-06    5.40624384e+00    3.66745973e+00    3.73736995e+00
122      3.00876636e-06    5.35836729e+00    3.69227943e+00    3.76636172e+00
