Index       TIME            {V(VI)+1}         {V(VO)+1}    
109      1.09000000e-06    1.76768912e+00    9.99999730e-01
110      1.10000000e-06    1.79332105e+00    9.99999922e-01
111      1.11000000e-06    1.81840166e+00    1.00000030e+00
112      1.12000000e-06    1.84162640e+00    1.00000015e+00
113      1.13000000e-06    1.86408268e+00    9.99999763e-01
114      1.14000000e-06    1.88455191e+00    9.99999888e-01
115      1.15000000e-06    1.90401415e+00    1.00000027e+00
116      1.16000000e-06    1.92142091e+00    1.00000018e+00
117      1.17000000e-06    1.93756870e+00    9.99999796e-01
118      1.18000000e-06    1.95165193e+00    9.99999855e-01
119      1.19000000e-06    1.96421943e+00    1.00000024e+00
120      1.20000000e-06    1.97476783e+00    1.00000021e+00
121      1.21000000e-06    1.98354813e+00    9.99999830e-01
122      1.22000000e-06    1.99040335e+00    9.99999822e-01
123      1.23000000e-06    1.99525190e+00    1.00000020e+00
124      1.24000000e-06    1.99831083e+00    1.00000025e+00
125      1.25000000e-06    1.99914780e+00    9.99999863e-01
126      1.26000000e-06    1.99836417e+00    9.99999788e-01
127      1.27000000e-06    1.99517578e+00    1.00000017e+00
128      1.28000000e-06    1.99056079e+00    1.00000028e+00
129      1.29000000e-06    1.98339954e+00    9.99999896e-01
130      1.30000000e-06    1.97502176e+00    9.99999755e-01
131      1.31000000e-06    1.96400555e+00    1.00000014e+00
132      1.32000000e-06    1.95198988e+00    1.00000031e+00
133      1.33000000e-06    1.93730006e+00    9.99999930e-01
134      1.34000000e-06    1.92182591e+00    9.99999722e-01
135      1.35000000e-06    1.90370433e+00    1.00000010e+00
136      1.36000000e-06    1.88500295e+00    1.00000035e+00
137      1.37000000e-06    1.86374796e+00    9.99999963e-01
138      1.38000000e-06    1.84209902e+00    9.99999689e-01
139      1.39000000e-06    1.81806054e+00    1.00000007e+00
140      1.40000000e-06    1.79378802e+00    1.00000038e+00
141      1.41000000e-06    1.76736180e+00    9.99999996e-01
142      1.42000000e-06    1.74078867e+00    9.99999645e-01
143      1.43000000e-06    1.71166704e+00    9.99999836e-01
144      1.44000000e-06    1.68254542e+00    1.00000003e+00
145      1.45000000e-06    1.65342380e+00    1.00000022e+00
146      1.46000000e-06    1.62430218e+00    1.00000041e+00
147      1.47000000e-06    1.59363674e+00    1.00000003e+00
148      1.48000000e-06    1.56264738e+00    1.00000003e+00
149      1.49000000e-06    1.53130950e+00    1.00000003e+00
150      1.50000000e-06    1.49997162e+00    1.00000003e+00
151      1.51000000e-06    1.46860800e+00    1.00000003e+00
152      1.52000000e-06    1.43733748e+00    1.00000003e+00
153      1.53000000e-06    1.40630943e+00    1.99998811e+00
154      1.54000000e-06    1.37566172e+00    1.99998705e+00
155      1.55000000e-06    1.34551059e+00    1.99998968e+00
156      1.56000000e-06    1.31597673e+00    1.99998847e+00
157      1.57000000e-06    1.28714781e+00    1.99998526e+00
158      1.58000000e-06    1.25926817e+00    1.99998934e+00
159      1.59000000e-06    1.23286977e+00    1.99998911e+00
160      1.60000000e-06    1.20709125e+00    1.99998707e+00
161      1.61000000e-06    1.18131273e+00    1.99998503e+00
162      1.62000000e-06    1.15889964e+00    1.99998700e+00
163      1.63000000e-06    1.13653998e+00    1.99998904e+00
164      1.64000000e-06    1.11525400e+00    1.99999001e+00
165      1.65000000e-06    1.09696498e+00    1.99998797e+00
166      1.66000000e-06    1.07867596e+00    1.99998593e+00
167      1.67000000e-06    1.06288748e+00    1.99998610e+00
168      1.68000000e-06    1.04920222e+00    1.99998814e+00
169      1.69000000e-06    1.03551695e+00    1.99999018e+00
170      1.70000000e-06    1.02594662e+00    1.99998887e+00
171      1.71000000e-06    1.01726403e+00    1.99998683e+00
172      1.72000000e-06    1.00911720e+00    1.99998521e+00
173      1.73000000e-06    1.00569039e+00    1.99998724e+00
174      1.74000000e-06    1.00226358e+00    1.99998928e+00
175      1.75000000e-06    1.00087903e+00    1.99998977e+00
176      1.76000000e-06    1.00280789e+00    1.99998773e+00
177      1.77000000e-06    1.00473674e+00    1.99998569e+00
178      1.78000000e-06    1.01016703e+00    1.99998634e+00
179      1.79000000e-06    1.01739533e+00    1.99998838e+00
180      1.80000000e-06    1.02462362e+00    1.99999042e+00
181      1.81000000e-06    1.03663589e+00    1.99998863e+00
182      1.82000000e-06    1.04895292e+00    1.99998659e+00
183      1.83000000e-06    1.06230812e+00    1.99998545e+00
184      1.84000000e-06    1.07935485e+00    1.99998748e+00
185      1.85000000e-06    1.09640158e+00    1.99998952e+00
186      1.86000000e-06    1.11556001e+00    1.99998953e+00
187      1.87000000e-06    1.13683953e+00    1.99998749e+00
188      1.88000000e-06    1.15811905e+00    1.99998545e+00
189      1.89000000e-06    1.18221012e+00    1.99998658e+00
190      1.90000000e-06    1.20710214e+00    1.99998862e+00
191      1.91000000e-06    1.23216067e+00    1.99999043e+00
192      1.92000000e-06    1.25993959e+00    1.99998839e+00
193      1.93000000e-06    1.28771852e+00    1.99998635e+00
194      1.94000000e-06    1.31595120e+00    1.99998777e+00
195      1.95000000e-06    1.34550670e+00    1.99998777e+00
196      1.96000000e-06    1.37566849e+00    1.99998777e+00
197      1.97000000e-06    1.40630938e+00    1.99998777e+00
198      1.98000000e-06    1.43733592e+00    1.00000017e+00
199      1.99000000e-06    1.46861040e+00    1.00000001e+00
200      2.00000000e-06    1.50000123e+00    9.99999970e-01
201      2.01000000e-06    1.53137628e+00    9.99999974e-01
202      2.02000000e-06    1.56263119e+00    1.00000014e+00
203      2.03000000e-06    1.59357009e+00    9.99999730e-01
204      2.04000000e-06    1.62407227e+00    1.00000010e+00
205      2.05000000e-06    1.65442910e+00    1.00000039e+00
206      2.06000000e-06    1.68363095e+00    1.00000002e+00
207      2.07000000e-06    1.71283281e+00    9.99999647e-01
208      2.08000000e-06    1.74031657e+00    9.99999965e-01
209      2.09000000e-06    1.76766991e+00    1.00000034e+00
210      2.10000000e-06    1.79325856e+00    1.00000015e+00
211      2.11000000e-06    1.81824991e+00    9.99999782e-01
212      2.12000000e-06    1.84164225e+00    9.99999830e-01
213      2.13000000e-06    1.86380245e+00    1.00000020e+00
214      2.14000000e-06    1.88472075e+00    1.00000029e+00
215      2.15000000e-06    1.90363380e+00    9.99999917e-01
216      2.16000000e-06    1.92182596e+00    9.99999695e-01
217      2.17000000e-06    1.93713681e+00    1.00000007e+00
218      2.18000000e-06    1.95237846e+00    1.00000042e+00
219      2.19000000e-06    1.96379970e+00    1.00000005e+00
220      2.20000000e-06    1.97522093e+00    9.99999682e-01
221      2.21000000e-06    1.98321342e+00    9.99999931e-01
222      2.22000000e-06    1.99053063e+00    1.00000030e+00
223      2.23000000e-06    1.99507768e+00    1.00000019e+00
224      2.24000000e-06    1.99815351e+00    9.99999817e-01
225      2.25000000e-06    1.99920534e+00    9.99999795e-01
226      2.26000000e-06    1.99798204e+00    1.00000017e+00
227      2.27000000e-06    1.99552523e+00    1.00000032e+00
228      2.28000000e-06    1.99002578e+00    9.99999952e-01
229      2.29000000e-06    1.98408345e+00    9.99999660e-01
230      2.30000000e-06    1.97441108e+00    1.00000003e+00
231      2.31000000e-06    1.96473870e+00    1.00000040e+00
232      2.32000000e-06    1.95137912e+00    1.00000009e+00
233      2.33000000e-06    1.93771540e+00    9.99999716e-01
234      2.34000000e-06    1.92128241e+00    9.99999896e-01
235      2.35000000e-06    1.90388384e+00    1.00000027e+00
236      2.36000000e-06    1.88457961e+00    1.00000022e+00
237      2.37000000e-06    1.86377281e+00    9.99999852e-01
238      2.38000000e-06    1.84182896e+00    9.99999760e-01
239      2.39000000e-06    1.81800452e+00    1.00000013e+00
240      2.40000000e-06    1.79368021e+00    1.00000036e+00
241      2.41000000e-06    1.76728538e+00    9.99999987e-01
242      2.42000000e-06    1.74085601e+00    9.99999623e-01
243      2.43000000e-06    1.71161605e+00    9.99999808e-01
244      2.44000000e-06    1.68237609e+00    9.99999994e-01
245      2.45000000e-06    1.65313613e+00    1.00000018e+00
246      2.46000000e-06    1.62389617e+00    1.00000036e+00
247      2.47000000e-06    1.59367590e+00    1.00000003e+00
248      2.48000000e-06    1.56266075e+00    1.00000003e+00
249      2.49000000e-06    1.53132689e+00    1.00000003e+00
250      2.50000000e-06    1.49998070e+00    1.00000003e+00
251      2.51000000e-06    1.46860807e+00    1.00000003e+00
252      2.52000000e-06    1.43733756e+00    1.00000003e+00
253      2.53000000e-06    1.40630940e+00    1.99998783e+00
254      2.54000000e-06    1.37565559e+00    1.99998567e+00
255      2.55000000e-06    1.34549425e+00    1.99999039e+00
256      2.56000000e-06    1.31596120e+00    1.99998900e+00
257      2.57000000e-06    1.28721415e+00    1.99998646e+00
258      2.58000000e-06    1.25926895e+00    1.99998839e+00
259      2.59000000e-06    1.23225908e+00    1.99998784e+00
260      2.60000000e-06    1.20657573e+00    1.99998600e+00
261      2.61000000e-06    1.18205064e+00    1.99998844e+00
262      2.62000000e-06    1.15792507e+00    1.99999023e+00
263      2.63000000e-06    1.13645400e+00    1.99998780e+00
264      2.64000000e-06    1.11498293e+00    1.99998536e+00
265      2.65000000e-06    1.09647152e+00    1.99998705e+00
266      2.66000000e-06    1.07849595e+00    1.99998949e+00
267      2.67000000e-06    1.06269484e+00    1.99998918e+00
268      2.68000000e-06    1.04858437e+00    1.99998675e+00
269      2.69000000e-06    1.03563102e+00    1.99998567e+00
270      2.70000000e-06    1.02567578e+00    1.99998810e+00
271      2.71000000e-06    1.01572055e+00    1.99999054e+00
272      2.72000000e-06    1.01010062e+00    1.99998813e+00
273      2.73000000e-06    1.00450531e+00    1.99998570e+00
274      2.74000000e-06    1.00208829e+00    1.99998672e+00
275      2.75000000e-06    1.00096795e+00    1.99998915e+00
276      2.76000000e-06    1.00176430e+00    1.99998951e+00
277      2.77000000e-06    1.00514197e+00    1.99998708e+00
278      2.78000000e-06    1.00914851e+00    1.99998534e+00
279      2.79000000e-06    1.01695473e+00    1.99998777e+00
280      2.80000000e-06    1.02476095e+00    1.99999021e+00
281      2.81000000e-06    1.03622869e+00    1.99998846e+00
282      2.82000000e-06    1.04830296e+00    1.99998603e+00
283      2.83000000e-06    1.06268367e+00    1.99998639e+00
284      2.84000000e-06    1.07877773e+00    1.99998882e+00
285      2.85000000e-06    1.09594030e+00    1.99998985e+00
286      2.86000000e-06    1.11572323e+00    1.99998741e+00
287      2.87000000e-06    1.13552435e+00    1.99998500e+00
288      2.88000000e-06    1.15858939e+00    1.99998744e+00
289      2.89000000e-06    1.18165443e+00    1.99998987e+00
290      2.90000000e-06    1.20674514e+00    1.99998880e+00
291      2.91000000e-06    1.23261804e+00    1.99998636e+00
292      2.92000000e-06    1.25948621e+00    1.99998606e+00
293      2.93000000e-06    1.28763499e+00    1.99998849e+00
294      2.94000000e-06    1.31594181e+00    1.99998867e+00
295      2.95000000e-06    1.34549424e+00    1.99998777e+00
296      2.96000000e-06    1.37565539e+00    1.99998777e+00
297      2.97000000e-06    1.40630940e+00    1.99998777e+00
298      2.98000000e-06    1.43733383e+00    9.99999676e-01
299      2.99000000e-06    1.46860611e+00    1.00000036e+00
300      3.00000000e-06    1.50000024e+00    1.00000031e+00
301      3.01000000e-06    1.53139134e+00    9.99999705e-01
302      3.02000000e-06    1.56253295e+00    9.99999979e-01
303      3.03000000e-06    1.59364881e+00    1.00000036e+00
304      3.04000000e-06    1.62408665e+00    1.00000009e+00
305      3.05000000e-06    1.65440735e+00    9.99999710e-01
306      3.06000000e-06    1.68368950e+00    9.99999939e-01
307      3.07000000e-06    1.71271112e+00    1.00000032e+00
308      3.08000000e-06    1.74040339e+00    1.00000013e+00
309      3.09000000e-06    1.76764358e+00    9.99999751e-01
310      3.10000000e-06    1.79333552e+00    9.99999898e-01
311      3.11000000e-06    1.81834155e+00    1.00000028e+00
312      3.12000000e-06    1.84165237e+00    1.00000017e+00
313      3.13000000e-06    1.86400863e+00    9.99999791e-01
314      3.14000000e-06    1.88459280e+00    9.99999857e-01
315      3.15000000e-06    1.90392774e+00    1.00000024e+00
316      3.16000000e-06    1.92148004e+00    1.00000021e+00
317      3.17000000e-06    1.93747230e+00    9.99999832e-01
318      3.18000000e-06    1.95173226e+00    9.99999817e-01
319      3.19000000e-06    1.96411606e+00    1.00000020e+00
320      3.20000000e-06    1.97487178e+00    1.00000025e+00
321      3.21000000e-06    1.98344129e+00    9.99999873e-01
322      3.22000000e-06    1.99053256e+00    9.99999776e-01
323      3.23000000e-06    1.99514535e+00    1.00000016e+00
324      3.24000000e-06    1.99846597e+00    1.00000029e+00
325      3.25000000e-06    1.99904538e+00    9.99999913e-01
326      3.26000000e-06    1.99854475e+00    9.99999735e-01
327      3.27000000e-06    1.99508116e+00    1.00000012e+00
328      3.28000000e-06    1.99076504e+00    1.00000034e+00
329      3.29000000e-06    1.98331601e+00    9.99999954e-01
330      3.30000000e-06    1.97524649e+00    9.99999695e-01
331      3.31000000e-06    1.96393582e+00    1.00000008e+00
332      3.32000000e-06    1.95223042e+00    1.00000038e+00
333      3.33000000e-06    1.93724609e+00    9.99999994e-01
334      3.34000000e-06    1.92207610e+00    9.99999654e-01
335      3.35000000e-06    1.90366715e+00    1.00000004e+00
336      3.36000000e-06    1.88525514e+00    1.00000042e+00
337      3.37000000e-06    1.86372754e+00    1.00000004e+00
338      3.38000000e-06    1.84219995e+00    9.99999654e-01
339      3.39000000e-06    1.81805572e+00    9.99999995e-01
340      3.40000000e-06    1.79376726e+00    1.00000038e+00
341      3.41000000e-06    1.76737024e+00    1.00000008e+00
342      3.42000000e-06    1.74072458e+00    9.99999694e-01
343      3.43000000e-06    1.71186282e+00    9.99999794e-01
344      3.44000000e-06    1.68258300e+00    9.99999985e-01
345      3.45000000e-06    1.65330317e+00    1.00000018e+00
346      3.46000000e-06    1.62402335e+00    1.00000037e+00
347      3.47000000e-06    1.59366535e+00    1.00000003e+00
348      3.48000000e-06    1.56266205e+00    1.00000003e+00
349      3.49000000e-06    1.53132346e+00    1.00000003e+00
350      3.50000000e-06    1.49997551e+00    1.00000003e+00
351      3.51000000e-06    1.46860876e+00    1.00000003e+00
352      3.52000000e-06    1.43733735e+00    1.00000003e+00
353      3.53000000e-06    1.40630942e+00    1.99998810e+00
354      3.54000000e-06    1.37566174e+00    1.99998708e+00
355      3.55000000e-06    1.34551094e+00    1.99998965e+00
356      3.56000000e-06    1.31597634e+00    1.99998850e+00
357      3.57000000e-06    1.28715073e+00    1.99998530e+00
358      3.58000000e-06    1.25926519e+00    1.99998936e+00
359      3.59000000e-06    1.23287317e+00    1.99998908e+00
360      3.60000000e-06    1.20708414e+00    1.99998705e+00
361      3.61000000e-06    1.18129510e+00    1.99998502e+00
362      3.62000000e-06    1.15890209e+00    1.99998703e+00
363      3.63000000e-06    1.13652435e+00    1.99998906e+00
364      3.64000000e-06    1.11527846e+00    1.99998996e+00
365      3.65000000e-06    1.09696253e+00    1.99998793e+00
366      3.66000000e-06    1.07864659e+00    1.99998590e+00
367      3.67000000e-06    1.06291167e+00    1.99998615e+00
368      3.68000000e-06    1.04918999e+00    1.99998818e+00
369      3.69000000e-06    1.03546830e+00    1.99999022e+00
370      3.70000000e-06    1.02596545e+00    1.99998881e+00
371      3.71000000e-06    1.01723689e+00    1.99998678e+00
372      3.72000000e-06    1.00918027e+00    1.99998527e+00
373      3.73000000e-06    1.00569858e+00    1.99998730e+00
374      3.74000000e-06    1.00221689e+00    1.99998933e+00
375      3.75000000e-06    1.00093433e+00    1.99998969e+00
376      3.76000000e-06    1.00280072e+00    1.99998766e+00
377      3.77000000e-06    1.00466711e+00    1.99998563e+00
378      3.78000000e-06    1.01020919e+00    1.99998642e+00
379      3.79000000e-06    1.01736940e+00    1.99998845e+00
380      3.80000000e-06    1.02452962e+00    1.99999048e+00
381      3.81000000e-06    1.03666094e+00    1.99998854e+00
382      3.82000000e-06    1.04890683e+00    1.99998651e+00
383      3.83000000e-06    1.06238531e+00    1.99998554e+00
384      3.84000000e-06    1.07936090e+00    1.99998757e+00
385      3.85000000e-06    1.09633648e+00    1.99998960e+00
386      3.86000000e-06    1.11561548e+00    1.99998943e+00
387      3.87000000e-06    1.13682729e+00    1.99998739e+00
388      3.88000000e-06    1.15803909e+00    1.99998536e+00
389      3.89000000e-06    1.18224386e+00    1.99998669e+00
390      3.90000000e-06    1.20707527e+00    1.99998872e+00
391      3.91000000e-06    1.23222546e+00    1.99999031e+00
392      3.92000000e-06    1.25995462e+00    1.99998828e+00
393      3.93000000e-06    1.28768378e+00    1.99998624e+00
394      3.94000000e-06    1.31595571e+00    1.99998777e+00
395      3.95000000e-06    1.34550832e+00    1.99998777e+00
396      3.96000000e-06    1.37565676e+00    1.99998777e+00
397      3.97000000e-06    1.40630940e+00    1.99998777e+00
398      3.98000000e-06    1.43733503e+00    9.99999906e-01
399      3.99000000e-06    1.46860858e+00    1.00000013e+00
400      4.00000000e-06    1.50000013e+00    1.00000006e+00
401      4.01000000e-06    1.53138280e+00    9.99999930e-01
402      4.02000000e-06    1.56252443e+00    9.99999946e-01
403      4.03000000e-06    1.59356317e+00    1.00000015e+00
404      4.04000000e-06    1.62411369e+00    1.00000014e+00
405      4.05000000e-06    1.65422999e+00    9.99999934e-01
406      4.06000000e-06    1.68380543e+00    9.99999879e-01
407      4.07000000e-06    1.71244373e+00    1.00000008e+00
408      4.08000000e-06    1.74067553e+00    1.00000020e+00
409      4.09000000e-06    1.76730751e+00    1.00000000e+00
410      4.10000000e-06    1.79384139e+00    9.99999813e-01
411      4.11000000e-06    1.81797577e+00    1.00000002e+00
412      4.12000000e-06    1.84211015e+00    1.00000022e+00
413      4.13000000e-06    1.86366677e+00    1.00000007e+00
414      4.14000000e-06    1.88485833e+00    9.99999863e-01
415      4.15000000e-06    1.90367420e+00    9.99999950e-01
416      4.16000000e-06    1.92153200e+00    1.00000015e+00
417      4.17000000e-06    1.93737768e+00    1.00000013e+00
418      4.18000000e-06    1.95157229e+00    9.99999930e-01
419      4.19000000e-06    1.96425203e+00    9.99999883e-01
420      4.20000000e-06    1.97452161e+00    1.00000009e+00
421      4.21000000e-06    1.98387521e+00    1.00000020e+00
422      4.22000000e-06    1.99003030e+00    9.99999997e-01
423      4.23000000e-06    1.99593471e+00    9.99999817e-01
424      4.24000000e-06    1.99786177e+00    1.00000002e+00
425      4.25000000e-06    1.99978882e+00    1.00000022e+00
426      4.26000000e-06    1.99789588e+00    1.00000006e+00
427      4.27000000e-06    1.99555936e+00    9.99999859e-01
428      4.28000000e-06    1.99013079e+00    9.99999954e-01
429      4.29000000e-06    1.98357378e+00    1.00000016e+00
430      4.30000000e-06    1.97468293e+00    1.00000013e+00
431      4.31000000e-06    1.96402641e+00    9.99999926e-01
432      4.32000000e-06    1.95178543e+00    9.99999888e-01
433      4.33000000e-06    1.93722596e+00    1.00000009e+00
434      4.34000000e-06    1.92178469e+00    1.00000020e+00
435      4.35000000e-06    1.90359088e+00    9.99999993e-01
436      4.36000000e-06    1.88513548e+00    9.99999821e-01
437      4.37000000e-06    1.86364295e+00    1.00000002e+00
438      4.38000000e-06    1.84215042e+00    1.00000023e+00
439      4.39000000e-06    1.81799953e+00    1.00000006e+00
440      4.40000000e-06    1.79360477e+00    9.99999855e-01
441      4.41000000e-06    1.76736437e+00    9.99999958e-01
442      4.42000000e-06    1.74051739e+00    1.00000016e+00
443      4.43000000e-06    1.71209711e+00    1.00000019e+00
444      4.44000000e-06    1.68258038e+00    1.00000008e+00
445      4.45000000e-06    1.65306365e+00    9.99999982e-01
446      4.46000000e-06    1.62354692e+00    9.99999880e-01
447      4.47000000e-06    1.59361853e+00    9.99999833e-01
448      4.48000000e-06    1.56253444e+00    9.99999941e-01
449      4.49000000e-06    1.53138789e+00    1.00000003e+00
450      4.50000000e-06    1.50000053e+00    1.00000003e+00
451      4.51000000e-06    1.46861534e+00    1.00000003e+00
452      4.52000000e-06    1.43733547e+00    1.00000003e+00
453      4.53000000e-06    1.40630940e+00    1.99998861e+00
454      4.54000000e-06    1.37566098e+00    1.99998808e+00
455      4.55000000e-06    1.34552025e+00    1.99998825e+00
456      4.56000000e-06    1.31594308e+00    1.99998956e+00
457      4.57000000e-06    1.28724639e+00    1.99998689e+00
458      4.58000000e-06    1.25922679e+00    1.99998958e+00
459      4.59000000e-06    1.23292094e+00    1.99998805e+00
460      4.60000000e-06    1.20661508e+00    1.99998651e+00
461      4.61000000e-06    1.18200219e+00    1.99998669e+00
462      4.62000000e-06    1.15872890e+00    1.99998823e+00
463      4.63000000e-06    1.13558028e+00    1.99998966e+00
464      4.64000000e-06    1.11592355e+00    1.99998812e+00
465      4.65000000e-06    1.09626681e+00    1.99998658e+00
466      4.66000000e-06    1.07870891e+00    1.99998662e+00
467      4.67000000e-06    1.06316198e+00    1.99998815e+00
468      4.68000000e-06    1.04761505e+00    1.99998969e+00
469      4.69000000e-06    1.03650912e+00    1.99998819e+00
470      4.70000000e-06    1.02546211e+00    1.99998666e+00
471      4.71000000e-06    1.01662750e+00    1.99998654e+00
472      4.72000000e-06    1.01035762e+00    1.99998808e+00
473      4.73000000e-06    1.00408774e+00    1.99998962e+00
474      4.74000000e-06    1.00245299e+00    1.99998827e+00
475      4.75000000e-06    1.00111757e+00    1.99998673e+00
476      4.76000000e-06    1.00184660e+00    1.99998647e+00
477      4.77000000e-06    1.00547915e+00    1.99998801e+00
478      4.78000000e-06    1.00911170e+00    1.99998954e+00
